STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-25,18.57,,0.05,0.0,0.0,54,64,35,,250,240,33.1,40.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-26,17.90,,0.00,0.0,0.0,36,39,28,,310,310,30.0,38.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-27,9.62,,0.00,0.0,0.0,33,43,24,,230,250,19.9,25.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-28,12.30,,0.00,0.0,0.0,45,62,35,,210,200,23.0,30.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-29,13.65,,0.03,0.0,0.0,51,62,42,,250,280,28.0,35.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-01,9.40,,0.00,0.0,0.0,45,53,39,,130,140,17.0,21.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-02,19.01,,0.12,0.0,0.0,47,57,29,,270,270,36.9,45.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-03,9.40,,0.00,0.0,0.0,32,38,26,,310,300,19.9,25.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-04,11.18,,0.12,1.4,1.2,33,40,29,,350,350,21.9,28.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-05,5.82,,0.00,0.0,0.0,35,43,28,,350,350,17.0,21.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-06,4.92,,0.00,0.0,0.0,36,47,27,,30,20,15.0,18.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-07,10.51,,0.00,0.0,0.0,43,63,31,,240,230,23.9,30.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-08,3.80,,0.00,0.0,0.0,54,65,45,,140,110,13.0,18.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-09,6.93,,0.00,0.0,0.0,58,82,42,,230,250,19.9,25.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-10,8.50,,0.00,0.0,0.0,70,81,59,,240,240,21.9,25.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-11,11.41,,0.03,0.0,0.0,64,69,48,,320,340,23.0,29.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-12,8.05,,0.00,0.0,0.0,50,60,38,,220,200,19.9,25.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-13,6.49,,0.00,0.0,0.0,56,62,49,,20,50,15.0,18.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-14,14.32,,0.52,0.0,0.0,48,52,41,,40,40,23.9,32.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-15,9.40,,0.00,0.0,0.0,48,57,45,,40,40,23.9,31.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-16,3.58,,0.03,0.0,0.0,54,64,46,,140,130,13.0,17.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-17,7.83,,0.00,0.0,0.0,53,66,44,,320,310,35.1,44.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-18,14.76,,0.00,0.0,0.0,52,62,41,,300,340,29.1,36.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-19,6.71,,0.00,0.0,0.0,43,47,35,,30,20,21.0,25.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-20,10.96,,0.07,0.2,0.0,39,44,33,,30,40,19.9,21.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-21,14.32,,0.00,0.0,0.0,40,53,33,,320,310,30.0,38.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-22,12.08,,0.00,0.0,0.0,44,58,34,,240,260,21.9,31.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-23,10.29,,0.00,0.0,0.0,57,74,45,,250,260,21.0,25.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-24,9.62,,0.00,0.0,0.0,52,56,44,,30,120,18.1,23.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-25,11.41,,0.11,0.0,0.0,57,74,46,,280,330,23.9,29.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-26,9.17,,0.00,0.0,0.0,47,54,38,,340,340,19.9,23.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-27,6.93,,0.00,0.0,0.0,46,51,44,,160,130,14.1,18.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-28,15.21,,0.38,0.0,0.0,48,65,43,,270,270,40.0,57.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-29,21.03,,0.00,0.0,0.0,51,56,40,,310,340,32.0,46.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-30,8.50,,0.00,0.0,0.0,45,55,33,,180,180,19.9,25.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-03-31,13.87,,0.00,0.0,0.0,58,74,46,,210,200,30.0,38.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-01,13.42,,0.00,0.0,0.0,70,80,62,,280,290,29.1,38.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-02,9.84,,0.16,0.0,0.0,58,64,42,,270,280,33.1,40.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-03,19.91,,0.03,0.0,0.0,43,45,35,,310,310,40.9,55.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-04,10.51,,0.44,0.0,0.0,41,44,30,,10,10,23.0,29.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-05,16.33,,0.00,0.0,0.0,34,44,26,,360,360,28.0,33.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-06,8.50,,0.00,0.0,0.0,38,49,27,,160,160,21.9,31.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-07,12.53,,0.09,0.0,0.0,53,61,46,,260,260,30.0,38.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-08,14.09,,0.00,0.0,0.0,48,50,38,,250,240,29.1,36.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-09,10.74,,0.09,0.0,0.0,40,44,32,,320,320,23.9,29.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-10,11.18,,0.00,0.0,0.0,40,52,31,,330,310,23.9,30.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-11,10.29,,0.01,0.0,0.0,51,68,42,,200,190,25.9,33.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-12,12.30,,0.13,0.0,0.0,56,61,44,,320,330,23.9,35.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-13,7.38,,0.00,0.0,0.0,48,58,39,,360,360,17.0,21.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-14,7.16,,0.00,0.0,0.0,50,62,41,,30,360,14.1,18.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-15,4.70,,0.00,0.0,0.0,51,65,39,,160,90,12.1,14.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-16,6.93,,0.00,0.0,0.0,54,68,41,,20,360,16.1,23.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-17,3.80,,0.00,0.0,0.0,56,73,42,,150,150,13.0,15.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-18,6.49,,0.00,0.0,0.0,64,81,47,,140,40,15.0,19.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-19,14.32,,0.00,0.0,0.0,67,74,54,,350,350,28.0,36.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-20,9.84,,0.00,0.0,0.0,60,69,50,,340,350,18.1,28.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-21,11.86,,0.00,0.0,0.0,60,77,44,,230,200,21.0,29.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-22,8.50,,0.00,0.0,0.0,71,83,61,,240,260,18.1,23.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-23,12.75,,0.04,0.0,0.0,67,73,54,,340,300,23.0,31.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-24,8.28,,0.00,0.0,0.0,58,72,45,,10,360,19.9,23.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-25,5.37,,0.00,0.0,0.0,58,68,48,,90,110,13.0,16.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-26,8.05,,0.10,0.0,0.0,58,68,46,,290,310,25.9,32.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-27,8.05,,0.00,0.0,0.0,51,67,46,,230,230,16.1,21.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-28,6.71,,0.00,0.0,0.0,52,58,47,,30,30,15.0,18.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-29,7.83,,0.03,0.0,0.0,51,57,47,,110,120,15.0,21.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-04-30,7.16,,0.00,0.0,0.0,52,63,44,,160,140,13.0,21.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-01,6.93,,0.21,0.0,0.0,49,51,43,,130,160,14.1,18.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-02,4.47,,0.14,0.0,0.0,50,61,45,,350,360,12.1,13.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-03,6.49,,0.59,0.0,0.0,54,55,51,,40,40,14.1,16.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-04,9.62,,0.01,0.0,0.0,52,58,49,,40,40,18.1,23.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-05,12.97,,0.00,0.0,0.0,51,59,46,,30,30,18.1,23.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-06,10.51,,0.62,0.0,0.0,52,54,49,,30,90,19.9,28.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-07,5.14,,0.10,0.0,0.0,52,59,48,,50,100,12.1,16.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-08,10.29,,0.11,0.0,0.0,56,68,47,,310,300,30.0,40.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-09,12.75,,0.00,0.0,0.0,61,75,45,,260,250,29.1,38.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-10,8.72,,0.00,0.0,0.0,57,62,46,,240,250,18.1,23.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-11,6.04,,0.00,0.0,0.0,61,74,49,,240,240,16.1,19.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-12,5.37,,0.00,0.0,0.0,67,77,54,,110,100,14.1,18.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-13,4.25,,0.29,0.0,0.0,62,66,58,,260,250,12.1,15.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-14,9.62,,0.00,0.0,0.0,66,76,56,,260,260,32.0,44.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-15,16.11,,0.00,0.0,0.0,54,59,44,,270,270,38.0,48.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-16,15.43,,0.00,0.0,0.0,52,69,40,,260,270,30.0,40.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-17,9.40,,0.00,0.0,0.0,59,66,52,,220,260,18.1,25.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-18,7.16,,0.00,0.0,0.0,57,67,50,,150,30,15.0,23.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-19,3.80,,0.00,0.0,0.0,61,72,54,,120,130,14.1,19.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-20,5.59,,0.00,0.0,0.0,64,76,52,,330,330,13.0,18.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-21,4.70,,0.08,0.0,0.0,62,64,54,,140,110,14.1,18.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-22,6.49,,0.04,0.0,0.0,60,70,52,,150,360,12.1,15.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-23,5.82,,0.01,0.0,0.0,65,76,53,,140,130,14.1,18.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-24,4.70,,0.05,0.0,0.0,65,77,58,,40,260,13.0,19.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-25,8.05,,0.00,0.0,0.0,74,91,57,,240,260,19.9,23.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-26,6.93,,0.00,0.0,0.0,80,93,64,,160,260,17.0,23.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-27,7.38,,0.00,0.0,0.0,79,89,70,,140,150,16.1,21.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-28,10.51,,0.00,0.0,0.0,82,96,71,,240,240,19.9,25.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-29,8.28,,0.03,0.0,0.0,80,88,69,,140,110,16.1,21.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-30,6.49,,1.57,0.0,0.0,75,83,69,,220,230,16.1,21.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-05-31,6.04,,0.00,0.0,0.0,77,85,71,,160,150,10.1,16.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-06-01,7.16,,0.00,0.0,0.0,76,84,67,,140,140,15.0,19.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-06-02,6.71,,0.00,0.0,0.0,68,72,63,,150,160,13.0,17.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-06-03,4.25,,0.03,0.0,0.0,65,70,63,,160,150,8.1,10.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-06-04,5.59,,0.01,0.0,0.0,72,85,65,,130,160,15.0,18.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-06-05,6.93,,0.94,0.0,0.0,69,74,66,,300,300,32.0,45.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-06-06,11.63,,0.00,0.0,0.0,74,86,66,,250,280,23.0,32.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-06-07,11.41,,0.14,0.0,0.0,77,87,64,,280,310,28.0,33.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-06-08,12.53,,0.51,0.0,0.0,63,69,54,,300,290,28.0,35.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-06-09,15.21,,0.00,0.0,0.0,63,75,53,,280,290,29.1,36.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-06-10,11.63,,0.00,0.0,0.0,67,80,56,,340,310,23.0,31.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-06-11,10.07,,0.00,0.0,0.0,72,91,55,,250,230,23.0,31.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-06-12,19.91,,0.00,0.0,0.0,82,88,63,,300,300,32.0,40.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-06-13,15.43,,0.00,0.0,0.0,67,76,57,,330,330,28.0,35.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-06-14,10.51,,0.00,0.0,0.0,69,82,59,,300,300,17.0,25.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-06-15,6.93,,0.00,0.0,0.0,75,87,59,,230,240,16.1,21.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-06-16,4.47,,0.00,0.0,0.0,73,77,67,,230,220,12.1,13.0
